"i","lon","lat","x","y","z","gbli","land"
56,24.0933738294071,-46.6219784813631,0.86260593225674,0.385742566271121,-1,2314,TRUE
57,27.1973875686228,-45.877375104203,0.86260593225674,0.443269513890864,-1,2459,TRUE
58,30.2649062231398,-45.0364582706496,0.86260593225674,0.503357699799294,-1,2460,TRUE
59,33.2938196627695,-44.0980568840552,0.86260593225674,0.566493002730344,-1,2461,TRUE
60,36.2825650907397,-43.0608816580479,0.86260593225674,0.633243016177569,-1,2607,TRUE
61,39.2301123075668,-41.923548240832,0.86260593225674,0.704279460865044,-1,2608,TRUE
62,42.1359392341303,-40.6846115450034,0.86260593225674,0.780407659653944,-1,2753,TRUE
63,45,-39.3426133488448,0.86260593225674,0.86260593225674,-1,2754,TRUE
64,47.8226878401508,-37.8961451734099,0.86260593225674,0.952079146700925,-1,2899,TRUE
65,-50.6589449179426,-39.0874007448147,0.780407659653944,-0.952079146700925,-1,2860,TRUE
66,-47.8640607658697,-40.6846115450034,0.780407659653944,-0.86260593225674,-1,2861,TRUE
67,-45,-42.1788936184786,0.780407659653944,-0.780407659653944,-1,2718,TRUE
68,-42.0646961440948,-43.5698233030952,0.780407659653944,-0.704279460865044,-1,2719,TRUE
69,-39.0567710182009,-44.8570069720615,0.780407659653944,-0.633243016177569,-1,2576,TRUE
70,-35.9756610284535,-46.0400334593448,0.780407659653944,-0.566493002730344,-1,2578,TRUE
71,-32.821744357895,-47.1184427662998,0.780407659653944,-0.503357699799294,-1,2435,TRUE
72,-29.5964619767444,-48.0917103720282,0.780407659653944,-0.443269513890864,-1,2436,TRUE
73,-26.3024237106493,-48.9592460076933,0.780407659653944,-0.385742566271121,-1,2293,TRUE
74,-22.9434893117069,-49.7204052780426,0.780407659653944,-0.330355377344334,-1,2295,TRUE
75,-19.5248139072128,-50.3745120142109,0.780407659653944,-0.276737270140414,-1,2296,TRUE
76,-16.0528476976978,-50.9208887416511,0.780407659653944,-0.224557509317129,-1,2298,TRUE
77,-12.5352816084569,-51.3588921955388,0.780407659653944,-0.173516460137856,-1,2155,TRUE
78,-8.9809338710174,-51.6879504852762,0.780407659653944,-0.123338236136739,-1,2156,TRUE
79,-5.39957707618554,-51.9075983808585,0.780407659653944,-0.0737644315224493,-1,2158,TRUE
80,-1.80171065874875,-52.0175073381373,0.780407659653944,-0.0245486221089254,-1,2159,TRUE
81,1.80171065874875,-52.0175073381373,0.780407659653944,0.0245486221089254,-1,2017,TRUE
82,5.39957707618554,-51.9075983808585,0.780407659653944,0.0737644315224493,-1,2018,TRUE
83,8.9809338710174,-51.6879504852762,0.780407659653944,0.123338236136739,-1,2020,TRUE
84,12.5352816084569,-51.3588921955388,0.780407659653944,0.173516460137856,-1,2021,TRUE
85,16.0528476976978,-50.9208887416511,0.780407659653944,0.224557509317129,-1,2166,TRUE
86,19.5248139072128,-50.3745120142109,0.780407659653944,0.276737270140414,-1,2168,TRUE
87,22.9434893117069,-49.7204052780426,0.780407659653944,0.330355377344334,-1,2169,TRUE
88,26.3024237106493,-48.9592460076933,0.780407659653944,0.385742566271121,-1,2171,TRUE
89,29.5964619767444,-48.0917103720282,0.780407659653944,0.443269513890864,-1,2316,TRUE
90,32.821744357895,-47.1184427662998,0.780407659653944,0.503357699799294,-1,2317,TRUE
91,35.9756610284535,-46.0400334593448,0.780407659653944,0.566493002730344,-1,2462,TRUE
92,39.0567710182009,-44.8570069720615,0.780407659653944,0.633243016177569,-1,2464,TRUE
93,42.0646961440948,-43.5698233030952,0.780407659653944,0.704279460865044,-1,2609,TRUE
94,45,-42.1788936184786,0.780407659653944,0.780407659653944,-1,2610,TRUE
95,47.8640607658697,-40.6846115450034,0.780407659653944,0.86260593225674,-1,2755,TRUE
96,50.6589449179426,-39.0874007448147,0.780407659653944,0.952079146700925,-1,2756,TRUE
97,-53.5086357964909,-40.1781293982734,0.704279460865044,-0.952079146700925,-1,2859,TRUE
98,-50.7698876924332,-41.923548240832,0.704279460865044,-0.86260593225674,-1,2716,TRUE
99,-47.9353038559052,-43.5698233030952,0.704279460865044,-0.780407659653944,-1,2717,TRUE
100,-45,-45.1147760267458,0.704279460865044,-0.704279460865044,-1,2574,TRUE
101,-41.959850661765,-46.556138404987,0.704279460865044,-0.633243016177569,-1,2431,TRUE
102,-38.8117470660679,-47.8915136235272,0.704279460865044,-0.566493002730344,-1,2432,TRUE
103,-35.5538860765396,-49.1183572808101,0.704279460865044,-0.503357699799294,-1,2290,TRUE
104,-32.1860793915507,-50.2339812462739,0.704279460865044,-0.443269513890864,-1,2291,TRUE
105,-28.7100654015008,-51.235581508569,0.704279460865044,-0.385742566271121,-1,2293,TRUE
106,-25.1297988349541,-52.1202902523425,0.704279460865044,-0.330355377344334,-1,2150,TRUE
107,-21.451686672525,-52.8852508091348,0.704279460865044,-0.276737270140414,-1,2151,TRUE
108,-17.6847345068493,-53.5277120784447,0.704279460865044,-0.224557509317129,-1,2153,TRUE
109,-13.8405675667769,-54.045136673645,0.704279460865044,-0.173516460137856,-1,2010,TRUE
110,-9.93329677551119,-54.4353147409987,0.704279460865044,-0.123338236136739,-1,2012,TRUE
111,-5.97921331219079,-54.6964735910232,0.704279460865044,-0.0737644315224493,-1,2014,TRUE
112,-1.99631439354341,-54.8273724782981,0.704279460865044,-0.0245486221089254,-1,2015,TRUE
113,1.99631439354341,-54.8273724782981,0.704279460865044,0.0245486221089254,-1,1873,TRUE
114,5.97921331219079,-54.6964735910232,0.704279460865044,0.0737644315224493,-1,1874,TRUE
115,9.93329677551119,-54.4353147409987,0.704279460865044,0.123338236136739,-1,1876,TRUE
116,13.8405675667769,-54.045136673645,0.704279460865044,0.173516460137856,-1,1878,TRUE
117,17.6847345068493,-53.5277120784447,0.704279460865044,0.224557509317129,-1,2023,TRUE
118,21.451686672525,-52.8852508091348,0.704279460865044,0.276737270140414,-1,2025,TRUE
119,25.1297988349541,-52.1202902523425,0.704279460865044,0.330355377344334,-1,2026,TRUE
120,28.7100654015008,-51.235581508569,0.704279460865044,0.385742566271121,-1,2171,TRUE
121,32.1860793915507,-50.2339812462739,0.704279460865044,0.443269513890864,-1,2173,TRUE
122,35.5538860765396,-49.1183572808101,0.704279460865044,0.503357699799294,-1,2174,TRUE
123,38.8117470660679,-47.8915136235272,0.704279460865044,0.566493002730344,-1,2320,TRUE
124,41.959850661765,-46.556138404987,0.704279460865044,0.633243016177569,-1,2321,TRUE
125,45,-45.1147760267458,0.704279460865044,0.704279460865044,-1,2466,TRUE
126,47.9353038559052,-43.5698233030952,0.704279460865044,0.780407659653944,-1,2611,TRUE
127,50.7698876924332,-41.923548240832,0.704279460865044,0.86260593225674,-1,2612,TRUE
128,53.5086357964909,-40.1781293982734,0.704279460865044,0.952079146700925,-1,2757,TRUE
129,-56.3714881280651,-41.1714874654182,0.633243016177569,-0.952079146700925,-1,2857,TRUE
130,-53.7174349092603,-43.0608816580479,0.633243016177569,-0.86260593225674,-1,2715,TRUE
131,-50.9432289817991,-44.8570069720615,0.633243016177569,-0.780407659653944,-1,2572,TRUE
132,-48.040149338235,-46.556138404987,0.633243016177569,-0.704279460865044,-1,2429,TRUE
133,-45,-48.1542554738793,0.633243016177569,-0.633243016177569,-1,2430,TRUE
134,-41.8155035267232,-49.646991674952,0.633243016177569,-0.566493002730344,-1,2287,TRUE
135,-38.480790804438,-51.0296093712881,0.633243016177569,-0.503357699799294,-1,2289,TRUE
136,-34.9919839195283,-52.2970073436731,0.633243016177569,-0.443269513890864,-1,2146,TRUE
137,-31.3478540297945,-53.4437683132472,0.633243016177569,-0.385742566271121,-1,2147,TRUE
138,-27.5505155368208,-54.4642527452607,0.633243016177569,-0.330355377344334,-1,2005,TRUE
139,-23.6060930622024,-55.3527426348026,0.633243016177569,-0.276737270140414,-1,2007,TRUE
140,-19.5252728936854,-56.1036343505567,0.633243016177569,-0.224557509317129,-1,2008,TRUE
141,-15.3236328720712,-56.71167295262,0.633243016177569,-0.173516460137856,-1,1866,TRUE
142,-11.0216433896134,-57.1722123621338,0.633243016177569,-0.123338236136739,-1,1868,TRUE
143,-6.64425574232281,-57.4814778425961,0.633243016177569,-0.0737644315224493,-1,1869,TRUE
144,-2.22004576380722,-57.6368016439214,0.633243016177569,-0.0245486221089254,-1,1871,TRUE
145,2.22004576380722,-57.6368016439214,0.633243016177569,0.0245486221089254,-1,1729,TRUE
146,6.64425574232281,-57.4814778425961,0.633243016177569,0.0737644315224493,-1,1731,TRUE
147,11.0216433896134,-57.1722123621338,0.633243016177569,0.123338236136739,-1,1732,TRUE
148,15.3236328720712,-56.71167295262,0.633243016177569,0.173516460137856,-1,1734,TRUE
149,19.5252728936854,-56.1036343505567,0.633243016177569,0.224557509317129,-1,1880,TRUE
150,23.6060930622024,-55.3527426348026,0.633243016177569,0.276737270140414,-1,1881,TRUE
151,27.5505155368208,-54.4642527452607,0.633243016177569,0.330355377344334,-1,1883,TRUE
152,31.3478540297945,-53.4437683132472,0.633243016177569,0.385742566271121,-1,2029,TRUE
153,34.9919839195283,-52.2970073436731,0.633243016177569,0.443269513890864,-1,2030,TRUE
154,38.480790804438,-51.0296093712881,0.633243016177569,0.503357699799294,-1,2175,TRUE
155,41.8155035267232,-49.646991674952,0.633243016177569,0.566493002730344,-1,2177,TRUE
156,45,-48.1542554738793,0.633243016177569,0.633243016177569,-1,2322,TRUE
157,48.040149338235,-46.556138404987,0.633243016177569,0.704279460865044,-1,2323,TRUE
158,50.9432289817991,-44.8570069720615,0.633243016177569,0.780407659653944,-1,2468,TRUE
159,53.7174349092603,-43.0608816580479,0.633243016177569,0.86260593225674,-1,2613,TRUE
160,56.3714881280651,-41.1714874654182,0.633243016177569,0.952079146700925,-1,2759,TRUE
161,-59.2470917599413,-42.0705310469111,0.566493002730344,-0.952079146700925,-1,2712,TRUE
162,-56.7061803372305,-44.0980568840552,0.566493002730344,-0.86260593225674,-1,2569,TRUE
163,-54.0243389715465,-46.0400334593448,0.566493002730344,-0.780407659653944,-1,2570,TRUE
164,-51.1882529339321,-47.8915136235272,0.566493002730344,-0.704279460865044,-1,2428,TRUE
165,-48.1844964732768,-49.646991674952,0.566493002730344,-0.633243016177569,-1,2285,TRUE
166,-45,-51.3003134869911,0.566493002730344,-0.566493002730344,-1,2142,TRUE
167,-41.6227101693477,-52.8446117912164,0.566493002730344,-0.503357699799294,-1,2143,TRUE
168,-38.042473666665,-54.2722810910179,0.566493002730344,-0.443269513890864,-1,2001,TRUE
169,-34.2521566861531,-55.5750099367559,0.566493002730344,-0.385742566271121,-1,2002,TRUE
